time,rpm,duty_cycle,v_in,c_in,c_motor,temp_motor,time_ms,amp_hours,amp_hours_charged,motor_wattage,v_out
1741632638.0943468,0.0,0.0,45.1,0.0,-1.27,-81.3,14613689.0,0.0,0.0,-0.0,0.0
1741632638.144461,0.0,0.0,45.1,0.0,-1.18,-81.5,14548153.0,0.0,0.0,-0.0,0.0
1741632638.2945614,0.0,0.0,45.0,0.0,-1.21,-81.7,14613580.0,0.0,0.0,-0.0,0.0
1741632638.3443215,0.0,0.0,45.1,0.0,-1.37,-81.2,14482648.0,0.0,0.0,-0.0,0.0
1741632638.3945441,0.0,0.0,45.1,0.0,-1.26,-80.6,14744652.0,0.0,0.0,-0.0,0.0
1741632638.4443307,0.0,0.0,45.1,0.0,-1.2,-80.5,14548170.0,0.0,0.0,-0.0,0.0
1741632638.7447686,0.0,0.0,45.3,0.0,-1.28,-81.2,14613580.0,0.0,0.0,-0.0,0.0
1741632638.845046,0.0,0.0,45.1,0.0,-1.19,-79.8,14482617.0,0.0,0.0,-0.0,0.0
1741632638.9448447,0.0,0.0,45.3,0.0,-1.32,-80.2,14613647.0,0.0,0.0,-0.0,0.0
1741632638.9943352,0.0,0.0,45.0,0.0,-1.19,-81.3,14482634.0,0.0,0.0,-0.0,0.0
1741632639.1467247,0.0,0.0,45.0,0.0,-1.25,-80.9,14548170.0,0.0,0.0,-0.0,0.0
1741632639.193854,0.0,0.0,45.1,0.0,-1.27,-81.2,14613706.0,0.0,0.0,-0.0,0.0
1741632639.2447968,0.0,0.0,45.2,0.0,-1.21,-81.3,14613619.0,0.0,0.0,-0.0,0.0
1741632639.2945743,0.0,0.0,45.1,0.0,-1.38,-82.2,14613689.0,0.0,0.0,-0.0,0.0
1741632639.3445554,0.0,0.0,45.0,0.0,-1.38,-82.5,14482684.0,0.0,0.0,-0.0,0.0
1741632639.3941548,0.0,0.0,45.2,0.0,-1.32,-82.5,14482634.0,0.0,0.0,-0.0,0.0
